date,open,close,low,high,volume,money
1996/8/1,823.17,835.11,814.89,843.01,3713304000.0,2784708700.0
1996/8/2,842.4,838.88,828.66,850.59,3918272000.0,3182119400.0
1996/8/5,846.03,853.19,838.6,853.2,3252658000.0,2427681300.0
1996/8/6,854.78,862.22,848.36,862.43,3764331000.0,2994729700.0
1996/8/7,865.49,867.27,862.61,873.03,5114482000.0,4086908400.0
1996/8/8,871.03,876.0,869.55,877.92,4467449000.0,3468291300.0
1996/8/9,875.19,871.6,857.74,880.31,5434288000.0,4120766800.0
1996/8/12,880.13,886.05,880.13,894.86,5292406000.0,4020290800.0
1996/8/13,885.89,874.81,872.4,887.35,3380463000.0,2591283000.0
1996/8/14,875.79,871.65,868.74,879.09,3066998000.0,2420930400.0
1996/8/15,872.83,865.83,864.77,878.57,3703103000.0,2915282500.0
1996/8/16,862.68,853.87,838.42,862.88,3927559000.0,3237462600.0
1996/8/19,852.34,835.21,834.85,852.35,2532430000.0,2118481800.0
1996/8/20,834.73,822.44,820.77,837.58,2715780000.0,2162501200.0
1996/8/21,825.69,833.61,825.61,842.68,3533549000.0,2859572700.0
1996/8/22,838.2,818.2,816.05,842.46,3002311000.0,2325351500.0
1996/8/23,824.89,803.69,786.44,824.89,3508527000.0,2808750900.0
1996/8/26,789.15,773.07,770.85,800.53,2941322000.0,2531508000.0
1996/8/27,769.79,787.47,766.7,787.48,2596491000.0,2036879900.0
1996/8/28,790.72,796.84,789.06,806.36,3499275000.0,2981339700.0
1996/8/29,797.31,788.73,783.96,797.98,3142907000.0,2101523100.0
1996/8/30,791.39,809.94,791.39,809.97,4664219000.0,3520278400.0
1996/9/2,812.94,804.78,803.13,813.57,3629176000.0,2662453200.0
1996/9/3,805.53,800.22,799.01,818.88,3634716000.0,2747409200.0
1996/9/4,797.9,812.02,795.07,813.46,3717969000.0,2971711500.0
1996/9/5,817.37,814.38,812.93,838.67,7055527000.0,5765848500.0
1996/9/6,813.59,801.23,796.17,818.36,3614965000.0,2980728400.0
1996/9/9,798.6,793.59,791.63,799.98,3603709000.0,3346858000.0
1996/9/10,793.22,764.45,763.15,793.22,3579191000.0,2940479800.0
1996/9/11,762.81,769.25,754.59,773.6,2902595000.0,2047304000.0
1996/9/12,780.32,757.09,754.11,784.18,4951125000.0,2106192400.0
1996/9/13,756.39,779.07,752.68,779.07,3294425000.0,2251410400.0
1996/9/16,779.85,778.29,771.8,784.48,3105759000.0,2737431500.0
1996/9/17,777.73,776.48,774.15,785.11,2825712000.0,2452681100.0
1996/9/18,781.34,760.76,757.94,782.73,2960647000.0,2503823000.0
1996/9/19,756.11,769.1,754.28,769.13,2047827000.0,1560462800.0
1996/9/20,772.29,805.54,770.04,805.54,3632568000.0,3292330500.0
1996/9/23,812.94,851.99,812.31,852.04,8750209000.0,8197043700.0
1996/9/24,857.42,849.92,845.39,865.49,7619116000.0,7256174300.0
1996/9/25,855.35,835.18,830.25,858.6,5269653000.0,5143411400.0
1996/9/26,837.68,854.66,837.68,857.44,5528705000.0,5380414400.0
1996/9/27,861.62,875.53,855.75,875.53,6779711000.0,6603607000.0
1996/10/3,887.85,865.49,864.67,891.71,5855275000.0,5381838300.0
1996/10/4,864.19,863.46,855.79,869.65,3849198000.0,3383326900.0
1996/10/7,866.07,864.66,852.83,869.87,4401367000.0,3441940100.0
1996/10/8,869.08,877.61,865.42,882.09,5362932000.0,4351187000.0
1996/10/9,882.19,874.01,865.57,883.62,5107229000.0,4186830400.0
1996/10/10,878.05,904.1,877.34,904.14,9745683000.0,6927798700.0
1996/10/11,909.06,909.89,898.72,912.01,11252542000.0,7461778200.0
1996/10/14,919.7,940.79,919.7,943.55,12502362000.0,8757552300.0
1996/10/15,943.81,937.29,925.66,944.94,8655867000.0,6613727300.0
1996/10/16,944.35,933.88,921.15,953.4,8499455000.0,6656883500.0
1996/10/17,931.11,952.32,928.08,952.45,8331416000.0,6656016400.0
1996/10/18,960.55,939.93,937.77,968.22,9963990000.0,7532118100.0
1996/10/21,943.03,964.39,943.03,964.44,7409761000.0,5486589300.0
1996/10/22,952.93,976.47,943.03,978.98,10114057000.0,7290778500.0
1996/10/23,989.32,1010.83,986.72,1011.13,14262611000.0,10831932400.0
1996/10/24,1017.46,1007.91,1004.37,1020.97,11165096000.0,9329883200.0
1996/10/25,1006.3,1012.67,994.82,1016.91,11273987000.0,9575816400.0
1996/10/28,1001.23,1022.86,1000.07,1026.84,10295494000.0,8544877200.0
1996/10/29,1032.61,1017.52,1013.49,1038.81,11142888000.0,9390301600.0
1996/10/30,1017.06,958.94,955.23,1022.02,8913422000.0,7165048500.0
1996/10/31,972.17,976.71,949.59,983.23,7183930000.0,5587136200.0
1996/11/1,935.17,930.79,906.96,962.11,7974747000.0,5480916200.0
1996/11/4,931.0,945.12,929.73,947.88,5628502000.0,3670398500.0
1996/11/5,947.44,928.03,922.67,950.36,5038555000.0,3706333500.0
1996/11/6,925.76,915.05,896.88,928.47,3971998000.0,2900813500.0
1996/11/7,919.95,928.14,915.62,931.6,3494761000.0,2960240500.0
1996/11/8,927.24,919.67,911.92,927.39,3054420000.0,2650845400.0
1996/11/11,923.37,933.97,922.2,933.97,3631432000.0,3095741100.0
1996/11/12,937.7,943.0,928.98,949.25,4937158000.0,3588525700.0
1996/11/13,945.98,940.52,932.93,951.09,4520260000.0,3506058400.0
1996/11/14,944.46,953.19,943.61,957.61,5539152000.0,4414774800.0
